Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_2,day_sin,day_cos
0.5536440126818958,0.10335772707705553,0.934690950143609,0.549618320610687,0.14465183058147882,0.017037086855365424,0.37059047744911444
0.5182861149500041,0.11007318123116659,0.929321136254213,0.5109806224310042,0.03086862885857861,0.0,0.49999999999774913
0.4982166084058207,0.09698665518725787,0.9326641542011855,0.4903112155020552,0.0,0.0170370868542003,0.6294095225465373
0.465886919762621,0.099009900990099,0.9449650523799248,0.4596594245449207,0.008973438621679828,0.0669872981076543,0.7499999999997811
0.3353589139094383,0.07253551442100732,0.9513456078893631,0.3355255431591309,0.002871500358937545,0.14644660940468152,0.853553390591229
0.3142427444923177,0.09225139905294877,0.958755499477031,0.3134468584850264,0.0017946877243359657,0.24999999999521033,0.9330127018894541
0.28693805381676285,0.13228583727938012,0.9601188717148408,0.28631826189078097,0.010050251256281407,0.37059047744787643,0.9829629131443028
0.5105377611576295,0.17684029272492466,0.9580728172264374,0.501937756899589,0.5434314429289304,0.49999999999646744,1.0
0.24194171205593043,0.10103314679294016,0.9794710540733487,0.24204345273047562,0.012203876525484566,0.6294095225523273,0.9829629131442483
0.2533635476790505,0.10271201033146793,0.974270582571016,0.253904873752202,0.016511127063890883,0.7499999999986711,0.9330127018929866
0.3377418502560767,0.12070598364184244,0.9716487639665965,0.3288314738696418,0.012203876525484566,0.8535533905903228,0.8535533905962248
0.3043553369644744,0.07778734395178648,0.9710696794116184,0.30182031708749263,0.0035893754486719313,0.9330127018924512,0.7499999999995984
0.19865762946101945,0.12247094274644857,0.9727883386183654,0.19483264826776278,0.015434314429289305,0.9829629131439712,0.6294095225533616
0.2469362246971791,0.07722772277227723,0.9636405292779706,0.2396946564885496,0.0035893754486719313,1.0,0.5000000000048143
0.2881727095358101,0.15312096427034008,0.961512127903309,0.28361714621256606,0.01615218951902369,0.9829629131445801,0.37059047744891077
0.3885456466953906,0.10232458028411538,0.9516955821559611,0.3866118614210217,0.1575735821966978,0.9330127018936274,0.2500000000024388
0.5531410047963581,0.2513129573826948,0.9381209635913869,0.547269524368761,0.481335247666906,0.8535533905971311,0.14644660941058352
